,OS,Remission,pCR,pRelapse
PIM2,0.41897113607685643,0.37253396052337395,0.5201374063852489,0.294612828146581
PLAC1,0.46755151007258405,2.0,0.5241926933062466,0.4468185432625133
PPARA,0.4472270196083105,0.28400704653206155,0.2652335451485221,0.34201725394029087
PPARG,0.44708875454245894,0.39116065854954274,0.40766165462379594,0.311474859789007
PPP2R2A_B_C_D,0.37578166855431266,0.24832586823729705,0.30732167601870497,0.33382627005836907
PRKAA1_2,0.3940939551575368,0.430993984593658,0.4426443893273528,0.4967652828249541
PRKAA1_2.pT172,0.4712033359260107,0.5700978632191239,0.26746681159867275,0.4038885736508664
PRKCA,0.389463981734764,0.5153233147750079,0.35379207883422314,0.356229721960064
PRKCA.pS657,0.38488840309175126,0.22093589766640742,0.6611667452229929,0.3088741395341297
PRKCB.I,0.28971351294351333,0.31050333075662706,0.37765221360984896,0.288546074787652
PRKCB.II,0.5032790203852402,0.36046460431742694,0.374498932597379,0.3154658252051589
PRKCD.pS645,0.38969950813039833,0.34910512752086287,0.6425332801000904,0.2703992787472789
PRKCD.pS664,0.42554146977382235,0.42262953352985344,0.3261293236990369,0.271493296177803
PRKCD.pT507,0.4259245936403382,0.39914352913218654,2.0,0.3052453625932267
CDKN1B,0.4038885736508664,0.3742674076084346,0.3479086320017754,0.22516924772038058
CDKN1B.pS10,0.3753275763405113,0.26499129317233344,0.33978191251238793,0.2504167720478551
PTEN,0.4156013422867414,0.3931023098158035,0.34243578988398876,0.3491051275208629
PTEN.pS380T382T383,0.3573443235852304,0.38488840309175126,0.3553333531126215,2.0
PTGS2,0.3205076307228883,0.26614571207710885,0.35533335311262154,0.3517230515477512
PTK2,2.0,0.34759086844894743,0.4514049633986267,0.38298732279644004
PTPN11,0.35051758356128765,0.3653040636018641,0.4515445632797598,0.31021973146511655
RAC1_2_3,0.4616365051564234,0.23576315124313074,0.3526885571045837,0.17740896678608978
RB1,0.28506796098669307,0.2694725334780728,0.3118560201628714,0.3128317816040526
RB1.pS807_811,0.38321893246496475,0.3712571668605612,0.3655249794078072,0.25744350656030174
RELA,0.40552267985710533,0.3206067497640578,0.41804613660346807,0.24732520696084453
RPS6,0.44143262441752695,0.30044364305253224,2.0,0.4501692159048001
RPS6KB1,0.42237410490178456,0.30401533683581417,0.33861737064880904,0.3406390510799686
RPS6KB1.pT389,0.527804404228844,2.0,0.5051660290579236,0.27919775831860466
RPS6.pS235_236,0.31302096505981897,0.25969146730888687,0.371371980521389,0.29324830711752475
RPS6.pS240_244,0.3284733706842554,0.35479424811749893,2.0,0.37672962060604515
SFN,0.44156914028884814,0.32451397610692434,2.0,0.35040921726263297
SIRT1,0.44889764579663205,0.2576788584372429,0.2114596036074294,0.2243975203102249
SMAD1,0.5279676311272309,0.19791861291361837,0.49351854598975237,0.27361380315223277
SMAD2,0.4865357471080701,0.4509926711134125,0.48816636113908385,0.28268773029758737
SMAD2.pS245,0.37555455381566527,0.31419461476877647,0.47975818247473384,0.39238455503780173
SMAD2.pS465,0.8594838688832729,0.3042932641414945,0.3917550218066652,0.3284733706842554
SMAD3,0.3284733706842553,0.2405746441256437,0.6385224012041517,0.26697845124772035
SMAD4,2.0,0.40716339754796543,0.31311776880159786,0.2512779824867444
SMAD5,2.0,0.47502396380595974,0.5054715256881663,0.28489567175367847
SMAD5.pS463,0.43286558701818084,2.0,0.856285197040724,0.311474859789007
SMAD6,0.4768050321659086,0.33040563063660866,0.4588967092175118,0.21551137850594
