,OS,Remission,pCR,pRelapse
PARP1.cl214,0.6589582608672,0.4170306403783457,0.39926696682946494,0.6538513343454794
PDK1,0.5514572894833801,0.41213119760292477,0.5858072265611622,0.9535331959204907
PDK1.pS241,0.5146934701844879,0.7786351691258552,0.6340211556597523,1.0382917022245342
PIK3CA,0.7235739507058088,0.42912452894931774,0.45429207352669376,0.7204354164000001
PIK3R1_2,0.5812011860848706,0.6306944869919426,0.8458341742292493,0.8270304525000002
PIM1,0.586094900071705,0.6078021185928791,0.4786906522220225,0.933897762
PIM2,0.6328635137368588,0.5169357018632439,0.5842667967970612,0.878977102412304
PLAC1,0.7001316000000001,0.5886481878591465,0.47903030249848816,1.1117830499999999
PPARA,0.3813260981902835,0.45213035148388686,0.579388346916028,0.8716379112
PPARG,0.8751645000000001,0.7383407660263354,0.5258401171173551,0.823697826084
PPP2R2A_B_C_D,0.567106596,0.7296664433707516,0.6903785917183969,0.8969154106247998
PRKAA1_2,0.6175160712000001,0.5860949000717051,0.5130880768972118,0.7938000000000001
PRKAA1_2.pT172,0.6354240372648001,0.756691126458557,0.48501818127971935,0.7783944456493801
PRKCA,0.59306243478048,2.0,0.6675987221129267,1.1256803381250005
PRKCA.pS657,0.622715556519504,0.5320913390045158,0.6415584408461895,0.9609807970980002
PRKCB.I,0.55576446408,0.572058491602669,0.4328715844110067,0.7910793921710736
PRKCB.II,0.645779095649856,0.7878916352129914,0.543446704851216,0.7413280434756
PRKCD.pS645,0.9411919999999999,2.0,0.7915577934780922,1.047034118357265
PRKCD.pS664,0.5103959364,0.6753356873254213,0.4074152722749642,1.211340319261956
PRKCD.pT507,0.5382504184331983,0.4633673781981618,0.5567810754486573,0.6433668377306101
CDKN1B,0.7148520419229002,0.583733154696601,0.5517984256343125,0.7910793921710736
CDKN1B.pS10,0.57188163353832,0.6030916521737845,0.588950648696802,0.9266600543445
PTEN,0.6457790956498561,0.40869002757077894,0.5347325448608904,0.933897762
PTEN.pS380T382T383,0.5103959364000002,0.59306243478048,0.5789775390586036,2.0
PTGS2,0.6483918747600002,0.5170955675456905,0.4829143932710406,0.9805926501
PTK2,0.6751269000000001,0.4397897801976099,0.4732561054056195,1.2113403192619565
PTPN11,0.5230810674763835,0.5862761536799215,0.47888220510406426,0.960980797098
RAC1_2_3,0.64839187476,0.4636475973032904,0.35633988828714047,0.882
RB1,0.6354240372648,0.4768050321659086,0.5263208340722634,0.69190617391056
RB1.pS807_811,0.49018425731856,0.5360814685989194,0.5702741696410574,0.85766121
RELA,0.5766968768927128,0.5497372252470125,0.6165253418693214,0.8104898434500001
RPS6,0.605165749776,0.5956460762210215,0.45991846978194334,0.7269408307451866
RPS6KB1,0.6483918747599999,0.6356205462251878,0.6595606728899116,0.9571084004045087
RPS6KB1.pT389,0.9529569,0.4541000306341987,0.4970725860372457,0.64839187476
RPS6.pS235_236,0.6865439010627532,2.0,1.1173017414114632,0.9535331959204906
RPS6.pS240_244,2.0,0.5627115198810001,0.6624340099739923,0.8371210499164798
SFN,0.732175845408,0.49646504806945924,0.6447430217385226,0.7505946440190451
SIRT1,0.7471182096,0.506596987825979,0.6491853297745125,0.7413280434756001
SMAD1,0.5103959364000001,0.607802118592879,0.5917530786157686,0.8613975603640579
SMAD2,0.6175160712000001,0.6921201503340934,0.5726985555460138,0.8306333617796272
SMAD2.pS245,0.8716379111999998,0.5297833690732318,0.5521321229732229,0.7321758454079998
SMAD2.pS465,0.6407743076585695,0.5606173217706156,0.5087577140238004,0.868381975125
SMAD3,0.5446491747984,0.5862761536799215,0.7215301081367039,0.7501410000000001
SMAD4,0.6861289680000001,0.6254283800320727,0.4526836358610714,0.71442
SMAD5,0.5786802000000001,0.5384168758284992,0.670714435098667,1.2360615502673022
SMAD5.pS463,0.64839187476,0.5695771623631729,0.8216251829958675,0.8072238695623198
SMAD6,0.5337561913024319,2.0,0.7627572407570407,0.9724050000000001
SOCS2,0.5470219067335913,0.41703064037834575,0.4619220774092565,0.8173141679318492
SPI1,0.600475715215236,0.44308774445420895,0.7728396783029909,0.8510143356225003
SPP1,0.5230810674763835,0.5023670572043186,0.4242141527227864,0.8004837959999999
SQSTM0,0.7204354164000001,0.6254283800320727,2.0,0.7233502500000001
SRC,0.59306243478048,0.5065969878259788,0.6897480320428907,0.8371210499164798
SRC.pY416,0.5557644640800001,2.0,0.5910298191303087,0.823697826084
SRC.pY527,0.686128968,0.41213119760292505,0.5072169245278015,0.8681255332467198
SSBP2,0.533756191302432,0.5743730020702709,0.628475781120454,1.1305842979778258
STAT1,0.605165749776,0.4086900275707788,0.7604472053272872,0.7179662525878386
STAT1.pY701,0.569577162363173,0.6153996450752903,0.6159062654980451,0.88942644
